Rk,Player,Age,MP,eFG%,FT%,TRB,AST,PTS,Team
11,Justin Holiday,33,16.4,.468,.625,1.8,0.9,4.4,Mavericks
12,Kemba Walker,32,16.0,.482,.810,1.8,2.1,8.0,Mavericks
13,Jaden Hardy,20,14.8,.533,.823,1.9,1.4,8.8,Mavericks
14,Frank Ntilikina,24,12.9,.428,.667,1.3,1.2,2.9,Mavericks
15,McKinley Wright IV,24,12.4,.515,.684,1.7,2.1,4.2,Mavericks
16,Dāvis Bertāns,30,10.9,.603,.867,1.2,0.5,4.6,Mavericks
17,Markieff Morris,33,8.8,.545,,1.5,0.8,4.5,Mavericks
18,JaVale McGee,35,8.5,.648,.585,2.5,0.3,4.4,Mavericks
19,Theo Pinson,27,8.1,.483,.846,1.6,1.2,2.4,Mavericks
20,A.J. Lawson,22,7.6,.605,.250,1.4,0.1,3.9,Mavericks
21,Facundo Campazzo,31,6.5,.346,.500,0.3,1.1,1.3,Mavericks
22,Chris Silva,26,3.0,1.000,,0.0,0.0,2.0,Mavericks
23,Tyler Dorsey,26,2.7,.900,,0.7,0.0,3.0,Mavericks
1,Lauri Markkanen,25,34.4,.586,.875,8.6,1.9,25.6,Jazz
2,Jordan Clarkson,30,32.6,.519,.816,4.0,4.4,20.8,Jazz
3,Mike Conley,35,29.7,.511,.813,2.5,7.7,10.7,Jazz
4,Kelly Olynyk,31,28.6,.583,.853,6.2,3.7,12.5,Jazz
5,Malik Beasley,26,26.8,.522,.841,3.6,1.7,13.4,Jazz
6,Kris Dunn,28,25.8,.576,.774,4.5,5.6,13.2,Jazz
7,Jarred Vanderbilt,23,24.1,.587,.657,7.9,2.7,8.3,Jazz
8,Collin Sexton,24,23.9,.558,.819,2.2,2.9,14.3,Jazz
9,Luka Šamanić,23,23.0,.526,.692,4.3,2.1,9.9,Jazz
10,Walker Kessler,21,23.0,.721,.516,8.4,0.9,9.2,Jazz
11,Ochai Agbaji,22,20.5,.532,.812,2.1,1.1,7.9,Jazz
12,Talen Horton-Tucker,22,20.2,.467,.750,3.2,3.8,10.7,Jazz
13,Damian Jones,27,15.8,.816,.778,3.5,0.6,4.6,Jazz
14,Juan Toscano-Anderson,29,15.2,.429,.889,2.9,1.8,3.4,Jazz
15,Simone Fontecchio,27,14.7,.470,.795,1.7,0.8,6.3,Jazz
16,Nickeil Alexander-Walker,24,14.7,.591,.692,1.6,2.1,6.3,Jazz
17,Rudy Gay,36,14.6,.437,.857,2.9,1.0,5.2,Jazz
18,Johnny Juzang,21,12.9,.409,.500,2.2,0.4,4.8,Jazz
19,Udoka Azubuike,23,10.0,.819,.350,3.3,0.3,3.5,Jazz
20,Jarrell Brantley,26,9.8,.714,1.000,1.5,0.8,5.5,Jazz
21,Micah Potter,24,7.4,.800,,2.3,0.6,3.4,Jazz
22,Frank Jackson,24,5.0,.000,,2.0,1.0,0.0,Jazz
23,Leandro Bolmaro,22,4.9,.150,,0.5,0.5,0.4,Jazz
1,Damian Lillard,32,36.3,.564,.914,4.8,7.3,32.2,Blazers
2,Jerami Grant,28,35.7,.554,.813,4.5,2.4,20.5,Blazers
3,Anfernee Simons,23,35.0,.548,.894,2.6,4.1,21.1,Blazers
4,Josh Hart,27,33.4,.551,.731,8.2,3.9,9.5,Blazers
5,Skylar Mays,25,31.5,.588,.923,3.2,8.3,15.3,Blazers
6,Matisse Thybulle,25,27.7,.558,.625,3.5,1.4,7.4,Blazers
7,Cam Reddish,23,27.6,.523,.833,2.9,1.9,11.0,Blazers
8,Justise Winslow,26,26.8,.444,.714,5.0,3.4,6.8,Blazers
9,Jusuf Nurkić,28,26.8,.561,.661,9.1,2.9,13.3,Blazers
10,Jeenathan Williams,23,25.4,.654,.667,3.0,2.0,10.6,Blazers
11,Shaquille Harrison,29,24.0,.458,.733,4.4,6.0,8.8,Blazers
12,Justin Minaya,23,22.3,.370,.000,3.8,1.0,4.3,Blazers
13,Shaedon Sharpe,19,22.2,.551,.714,3.0,1.2,9.9,Blazers
14,Chance Comanche,26,21.0,.600,.250,3.0,0.0,7.0,Blazers
15,Drew Eubanks,25,20.3,.651,.664,5.4,1.3,6.6,Blazers
16,Trendon Watford,22,19.1,.599,.720,3.8,2.1,7.4,Blazers
17,Nassir Little,22,18.1,.538,.717,2.6,0.9,6.6,Blazers
18,Kevin Knox,23,17.1,.516,.741,3.3,0.9,8.5,Blazers
19,Gary Payton II,30,17.0,.695,1.000,2.6,1.5,4.1,Blazers
20,Ryan Arcidiacono,28,16.2,.359,,1.2,2.3,2.6,Blazers
21,John Butler,20,11.6,.396,.750,0.9,0.6,2.4,Blazers
22,Jabari Walker,20,11.1,.460,.756,2.3,0.6,3.9,Blazers
23,Keon Johnson,20,10.4,.455,.659,1.1,1.5,4.7,Blazers
24,Greg Brown III,21,5.8,.411,.417,1.2,0.2,1.8,Blazers
1,Kevin Porter Jr.,22,34.3,.522,.784,5.3,5.7,19.2,Rockets
2,Jalen Green,20,34.2,.485,.786,3.7,3.7,22.1,Rockets
3,Jabari Smith Jr.,19,31.0,.475,.786,7.2,1.3,12.8,Rockets
4,Eric Gordon,34,30.2,.528,.815,2.1,2.9,13.1,Rockets
5,Alperen Şengün,20,28.9,.565,.715,9.0,3.9,14.8,Rockets
6,Kenyon Martin Jr.,22,28.0,.617,.680,5.5,1.5,12.7,Rockets
7,Jae'Sean Tate,27,21.8,.509,.725,3.8,2.7,9.1,Rockets
8,Tari Eason,21,21.5,.493,.752,6.0,1.1,9.3,Rockets
9,Daishen Nix,20,16.0,.426,.667,1.7,2.3,4.0,Rockets
10,TyTy Washington Jr.,21,14.0,.422,.556,1.5,1.5,4.7,Rockets
11,Garrison Mathews,26,13.4,.509,.911,1.4,0.5,4.8,Rockets
12,Usman Garuba,20,12.9,.554,.617,4.1,0.9,3.0,Rockets
13,Josh Christopher,21,12.3,.497,.750,1.1,1.1,5.8,Rockets
14,Bruno Fernando,24,11.7,.516,.682,3.9,1.0,4.1,Rockets
15,Darius Days,23,6.3,.542,1.000,1.5,0.3,3.8,Rockets
16,Frank Kaminsky,29,5.9,.368,1.000,1.6,1.1,1.8,Rockets
17,Trevor Hudgins,23,5.6,.333,1.000,0.0,0.6,1.8,Rockets
18,Boban Marjanović,34,5.5,.683,.741,1.9,0.3,3.3,Rockets
1,Keldon Johnson,23,32.7,.512,.749,5.0,2.9,22.0,Spurs
2,Devin Vassell,22,31.0,.525,.780,3.9,3.6,18.5,Spurs
3,Tre Jones,23,29.2,.489,.860,3.6,6.6,12.9,Spurs
4,Devonte' Graham,27,26.4,.513,.750,2.5,4.0,13.0,Spurs
5,Jakob Poeltl,27,26.1,.616,.605,9.0,3.1,12.1,Spurs
