Player,Position,Height,Weight,Team,Rk,Age,MP,eFG%,TRB,AST,PTS,Coach-Playoff
Andrew Wiggins,SF,6-7,197,Golden State Warriors,3,27,34.0,0.511,5.6,1.9,16.7,7
Kevon Looney,C,6-9,222,Golden State Warriors,5,26,25.0,0.578,13.1,3.3,6.5,7
Dario Šarić,PF,6-10,225,Golden State Warriors,15,28,13.7,0.606,3.3,0.9,7.4,7
Gary Payton II,SG,6-3,190,Golden State Warriors,8,30,16.0,0.704,3.7,0.8,6.8,7
Gary Payton II,SG,6-3,190,Golden State Warriors,19,30,17.0,0.695,2.6,1.5,4.1,7
Draymond Green,PF,6-6,230,Golden State Warriors,4,32,30.6,0.489,6.9,6.8,9.4,7
Lauri Markkanen,PF,7-0,240,Utah Jazz,1,25,34.4,0.586,8.6,1.9,25.6,0
Jordan Clarkson,SG,6-4,194,Utah Jazz,2,30,32.6,0.519,4.0,4.4,20.8,0
Collin Sexton,PG,6-1,190,Utah Jazz,8,24,23.9,0.558,2.2,2.9,14.3,0
Kelly Olynyk,C,6-11,240,Utah Jazz,4,31,28.6,0.583,6.2,3.7,12.5,0
Talen Horton-Tucker,SG,6-4,234,Utah Jazz,12,22,20.2,0.467,3.2,3.8,10.7,0
Walker Kessler,C,7-1,245,Utah Jazz,10,21,23.0,0.721,8.4,0.9,9.2,0
Kris Dunn,PG,6-3,205,Utah Jazz,6,28,25.8,0.576,4.5,5.6,13.2,0
Ochai Agbaji,SG,6-5,215,Utah Jazz,11,22,20.5,0.532,2.1,1.1,7.9,0
Simone Fontecchio,SF,6-8,209,Utah Jazz,15,27,14.7,0.47,1.7,0.8,6.3,0
Luka Šamanić,PF,6-10,227,Utah Jazz,9,23,23.0,0.526,4.3,2.1,9.9,0
Alperen Şengün,C,6-9,235,Houston Rockets,5,20,28.9,0.565,9.0,3.9,14.8,1
Jalen Green,SG,6-4,178,Houston Rockets,2,20,34.2,0.485,3.7,3.7,22.1,1
Dillon Brooks,SG,6-7,225,Houston Rockets,5,27,27.8,0.377,3.0,1.8,10.5,1
Jabari Smith Jr.,PF,6-10,220,Houston Rockets,3,19,31.0,0.475,7.2,1.3,12.8,1
Jeff Green,PF,6-8,235,Houston Rockets,7,36,17.2,0.524,1.6,0.7,4.1,1
Jae'Sean Tate,SF,6-4,230,Houston Rockets,7,27,21.8,0.509,3.8,2.7,9.1,1
Reggie Bullock,SF,6-6,205,Houston Rockets,5,31,30.3,0.569,3.6,1.4,7.2,1
Jeenathan Williams,SG,6-5,205,Houston Rockets,10,23,25.4,0.654,3.0,2.0,10.6,1
Jock Landale,C,6-11,256,Houston Rockets,9,27,16.1,0.63,4.0,0.4,6.1,1
Tari Eason,PF,6-8,216,Houston Rockets,8,21,21.5,0.493,6.0,1.1,9.3,1
Shaedon Sharpe,SG,6-6,200,Portland Trail Blazers,13,19,22.2,0.551,3.0,1.2,9.9,0
Jerami Grant,PF,6-8,210,Portland Trail Blazers,2,28,35.7,0.554,4.5,2.4,20.5,0
Deandre Ayton,C,6-11,250,Portland Trail Blazers,4,24,31.9,0.55,9.7,1.0,13.4,0
Jabari Walker,SF,6-9,215,Portland Trail Blazers,22,20,11.1,0.46,2.3,0.6,3.9,0
Matisse Thybulle,SG,6-5,201,Portland Trail Blazers,6,25,27.7,0.558,3.5,1.4,7.4,0
Anfernee Simons,SG,6-3,181,Portland Trail Blazers,3,23,35.0,0.548,2.6,4.1,21.1,0
Justin Minaya,SF,6-5,210,Portland Trail Blazers,12,23,22.3,0.37,3.8,1.0,4.3,0
Desmond Bane,SG,6-5,215,Memphis Grizzlies,1,24,38.5,0.491,6.0,3.2,23.5,3
Jaren Jackson Jr.,C,6-11,242,Memphis Grizzlies,3,23,36.7,0.464,7.8,1.5,18.0,3
Xavier Tillman Sr.,C,6-8,245,Memphis Grizzlies,4,24,30.5,0.544,8.0,3.2,8.7,3
David Roddy,PF,6-6,255,Memphis Grizzlies,9,21,12.7,0.379,2.8,0.7,3.8,3
Luke Kennard,SG,6-5,206,Memphis Grizzlies,6,26,21.4,0.696,4.0,1.4,7.2,3
Santi Aldama,PF,6-11,224,Memphis Grizzlies,8,22,16.8,0.561,4.3,1.2,6.5,3
Ja Morant,PG,6-3,174,Memphis Grizzlies,2,23,37.4,0.486,6.8,7.0,24.6,3
