Player,Position,Weight,Team,Rk,Age,MP,eFG%,TRB,AST,PTS,Coach-Playoff,Height,New_Rk
Zion Williamson,PF,284,New Orleans Pelicans,3,22,33.0,0.615,7.0,4.6,26.0,1,198.12,3
Trey Murphy III,SF,206,New Orleans Pelicans,4,22,31.0,0.61,3.6,1.4,14.5,1,205.74,4
Herbert Jones,PF,210,New Orleans Pelicans,5,24,29.6,0.525,4.1,2.5,9.8,1,203.2,5
Jonas Valanciunas,C,265,New Orleans Pelicans,6,30,24.9,0.57,10.2,1.8,14.1,1,210.82,6
Naji Marshall,SF,220,New Orleans Pelicans,7,25,23.3,0.49,3.6,2.5,9.1,1,200.66,7
Jose Alvarado,PG,179,New Orleans Pelicans,9,24,21.5,0.496,2.3,3.0,9.0,1,182.88,8
Larry Nance Jr.,C,245,New Orleans Pelicans,10,30,21.2,0.633,5.4,1.8,6.8,1,200.66,9
Dyson Daniels,PG,199,New Orleans Pelicans,11,19,17.7,0.483,3.2,2.3,3.8,1,203.2,10
Shai Gilgeous-Alexander,PG,180,Oklahoma City Thunder,1,24,35.5,0.531,4.8,5.5,31.4,0,198.12,1
Josh Giddey,PF,210,Oklahoma City Thunder,2,20,31.1,0.516,7.9,6.2,16.6,0,203.2,2
Luguentz Dort,SF,215,Oklahoma City Thunder,3,23,30.7,0.466,4.6,2.1,13.7,0,190.5,3
Jalen Williams,SG,195,Oklahoma City Thunder,4,21,30.3,0.567,4.5,3.3,14.1,0,198.12,4
Kenrich Williams,PF,210,Oklahoma City Thunder,5,28,22.8,0.59,4.9,2.0,8.0,0,198.12,5
Aleksej Pokusevski,PF,190,Oklahoma City Thunder,6,21,20.6,0.51,4.7,1.9,8.1,0,213.36,6
Isaiah Joe,SG,165,Oklahoma City Thunder,7,23,19.1,0.599,2.4,1.2,9.5,0,193.04,7
Jaylin Williams,C,240,Oklahoma City Thunder,9,20,18.7,0.534,4.9,1.6,5.9,0,208.28,8
Aaron Wiggins,SG,200,Oklahoma City Thunder,10,24,18.5,0.579,3.0,1.1,6.8,0,198.12,9
Tre Mann,PG,178,Oklahoma City Thunder,11,21,17.7,0.474,2.3,1.8,7.7,0,190.5,10
Ousmane Dieng,PF,216,Oklahoma City Thunder,13,19,14.6,0.492,2.7,1.2,4.9,0,208.28,11
Davis Bertans,PF,225,Oklahoma City Thunder,16,30,10.9,0.603,1.2,0.5,4.6,0,208.28,12
Kevin Durant,PF,240,Phoenix Suns,1,34,42.4,0.516,8.7,5.5,29.0,7,208.28,1
Devin Booker,SG,206,Phoenix Suns,2,26,41.7,0.649,4.8,7.2,33.7,7,195.58,2
Eric Gordon,SG,215,Phoenix Suns,4,34,29.8,0.523,1.4,2.6,10.2,7,190.5,3
Josh Okogie,SG,213,Phoenix Suns,7,24,17.5,0.405,2.1,1.3,4.1,7,193.04,4
Jusuf Nurkic,C,290,Phoenix Suns,9,28,26.8,0.561,9.1,2.9,13.3,7,210.82,5
Keita Bates-Diop,SF,229,Phoenix Suns,12,27,21.7,0.568,3.7,1.5,9.7,7,203.2,6
Damion Lee,SG,210,Phoenix Suns,12,30,11.1,0.375,1.4,0.6,2.1,7,195.58,7
Drew Eubanks,C,245,Phoenix Suns,15,25,20.3,0.651,5.4,1.3,6.6,7,205.74,8
Nassir Little,PF,220,Phoenix Suns,17,22,18.1,0.538,2.6,0.9,6.6,7,195.58,9
Jerami Grant,PF,210,Portland Trail Blazers,2,28,35.7,0.554,4.5,2.4,20.5,0,203.2,1
Anfernee Simons,SG,181,Portland Trail Blazers,3,23,35.0,0.548,2.6,4.1,21.1,0,190.5,2
Deandre Ayton,C,250,Portland Trail Blazers,4,24,31.9,0.55,9.7,1.0,13.4,0,210.82,3
Matisse Thybulle,SG,201,Portland Trail Blazers,6,25,27.7,0.558,3.5,1.4,7.4,0,195.58,4
Justin Minaya,SF,210,Portland Trail Blazers,12,23,22.3,0.37,3.8,1.0,4.3,0,195.58,5
Shaedon Sharpe,SG,200,Portland Trail Blazers,13,19,22.2,0.551,3.0,1.2,9.9,0,198.12,6
Jabari Walker,SF,215,Portland Trail Blazers,22,20,11.1,0.46,2.3,0.6,3.9,0,205.74,7
De'Aaron Fox,PG,185,Sacramento Kings,1,25,38.6,0.488,5.4,7.7,27.4,7,190.5,1
Domantas Sabonis,C,240,Sacramento Kings,2,26,34.7,0.5,11.0,4.7,16.4,7,210.82,2
Malik Monk,SG,200,Sacramento Kings,3,24,29.3,0.478,5.4,3.6,19.0,7,190.5,3
Harrison Barnes,PF,225,Sacramento Kings,4,30,28.0,0.467,3.4,0.7,10.7,7,203.2,4
Keegan Murray,SF,215,Sacramento Kings,5,22,27.7,0.552,6.3,0.7,9.7,7,203.2,5
Kevin Huerter,SG,190,Sacramento Kings,6,24,26.1,0.403,4.4,1.1,9.1,7,200.66,6
Davion Mitchell,PG,205,Sacramento Kings,7,24,20.0,0.489,1.3,1.7,7.1,7,187.96,7
Trey Lyles,PF,234,Sacramento Kings,8,27,16.9,0.538,5.7,0.7,6.6,7,205.74,8
Keldon Johnson,SF,220,San Antonio Spurs,1,23,32.7,0.512,5.0,2.9,22.0,22,195.58,1
Devin Vassell,SG,200,San Antonio Spurs,2,22,31.0,0.525,3.9,3.6,18.5,22,195.58,2
Tre Jones,PG,185,San Antonio Spurs,3,23,29.2,0.489,3.6,6.6,12.9,22,185.42,3
Jeremy Sochan,PF,230,San Antonio Spurs,6,19,26.0,0.483,5.3,2.5,11.0,22,205.74,4
Malaki Branham,SG,180,San Antonio Spurs,8,19,23.5,0.503,2.7,1.9,10.2,22,195.58,5
Sandro Mamukelashvili,C,240,San Antonio Spurs,10,23,23.3,0.52,6.8,2.4,10.8,22,210.82,6
Zach Collins,C,250,San Antonio Spurs,11,25,22.9,0.568,6.4,2.9,11.6,22,210.82,7
Devonte' Graham,PG,195,San Antonio Spurs,12,27,15.3,0.511,1.4,2.2,5.3,22,185.42,8
Julian Champagnie,SF,220,San Antonio Spurs,13,21,20.9,0.59,4.0,0.7,11.0,22,203.2,9
Doug McDermott,SF,225,San Antonio Spurs,14,31,20.5,0.575,2.2,1.4,10.2,22,200.66,10
Blake Wesley,SG,185,San Antonio Spurs,16,19,18.1,0.367,2.2,2.7,5.0,22,195.58,11
Charles Bassey,C,235,San Antonio Spurs,19,22,14.5,0.656,5.5,1.3,5.7,22,210.82,12
Lauri Markkanen,PF,240,Utah Jazz,1,25,34.4,0.586,8.6,1.9,25.6,0,213.36,1
Jordan Clarkson,SG,194,Utah Jazz,2,30,32.6,0.519,4.0,4.4,20.8,0,193.04,2
Kelly Olynyk,C,240,Utah Jazz,4,31,28.6,0.583,6.2,3.7,12.5,0,210.82,3
Kris Dunn,PG,205,Utah Jazz,6,28,25.8,0.576,4.5,5.6,13.2,0,190.5,4
Collin Sexton,PG,190,Utah Jazz,8,24,23.9,0.558,2.2,2.9,14.3,0,185.42,5
Luka Samanic,PF,227,Utah Jazz,9,23,23.0,0.526,4.3,2.1,9.9,0,208.28,6
Walker Kessler,C,245,Utah Jazz,10,21,23.0,0.721,8.4,0.9,9.2,0,215.9,7
Ochai Agbaji,SG,215,Utah Jazz,11,22,20.5,0.532,2.1,1.1,7.9,0,195.58,8
Talen Horton-Tucker,SG,234,Utah Jazz,12,22,20.2,0.467,3.2,3.8,10.7,0,193.04,9
Simone Fontecchio,SF,209,Utah Jazz,15,27,14.7,0.47,1.7,0.8,6.3,0,203.2,10
